,deal_id,deal_name,dominio,telefone,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company
41,4170488781,COC SÃO JOÃO,https://www.coc.com.br/nossas-escolas/coc-sao-joao,(19) 3623-1523,São João da Boa Vista,,,,,,5285515719,COC SÃO JOÃO
42,4176464760,COLÉGIO EDUKANDARIUM MONDINI,https://edukandariummondini.com.br/,(11) 2280-2435,São Paulo,,,,,,5285552706,COLÉGIO EDUKANDARIUM MONDINI
43,4176464569,COLÉGIO EDUCAR RIO VERDE,https://www.coc.com.br/nossas-escolas/colegio-educar-rio-verde,(64) 3624-2638,Rio Verde,,,,C/D,,5284588281,COLÉGIO EDUCAR RIO VERDE
44,4176420851,COLÉGIO EDUCAR ACREÚNA,https://www.coc.com.br/nossas-escolas/colegio-educar-acreuna,(64) 3645-1143,Acreúna,,,,,,5285666084,COLÉGIO EDUCAR ACREÚNA
45,4307394725,COLÉGIO ASTER,https://www.coc.com.br/nossas-escolas/colegio-aster,(47) 3367-5364,Balneário Camboriú,,,,,,5285533392,COLÉGIO ASTER
46,4307485789,COLÉGIO AGNUS DEI,https://www.colegioagnusdei.com/,(82) 3352-1097,Rio Largo,,,,,,5284588280,COLÉGIO AGNUS DEI
47,4161099268,JAÚ CONEXÃO,http://www.conexaojau.com.br/,-,Jaú,,,,,,5285636018,JAÚ CONEXÃO
48,4175938488,COLÉGIO COSTA AGUIAR,https://colegiocostaaguiar.com.br/,(11) 2721-5720,São Paulo,,,,,,5285538215,COLÉGIO COSTA AGUIAR
49,4169848074,COC - COLÉGIO SÃO PAULO,https://www.coc.com.br/nossas-escolas/coc-colegio-sao-paulo,(79) 3218-3500,Aracaju,,,,A/B,,5285545149,COC - COLÉGIO SÃO PAULO
50,4169861161,COC BERTIOGA,https://www.instagram.com/cocbertioga/,-,INDAIA,,,,,,5285629511,COC BERTIOGA
51,4169810112,CENTRO EDUCACIONAL SISTEMA MASTER COC,https://www.coc.com.br/nossas-escolas/centro-educacional-sistema-master,-,Camaçari,,,,C/D,,5285531179,CENTRO EDUCACIONAL SISTEMA MASTER
52,4161021565,JARDIM ESCOLA SONHO VIVO,https://www.melhorescola.com.br/escola/jardim-escola-sonho-vivo,-,Macau,,,,,,5285520260,JARDIM ESCOLA SONHO VIVO
53,4280332950,COLÉGIO VITÓRIA,https://www.coc.com.br/nossas-escolas/colegio-vitoria,(61) 3533-5300,Brasília,,,,,,5285627623,COLÉGIO VITÓRIA
54,4169845516,CENTRO EDUCACIONAL SÃO JOÃO EVANGELISTA,https://colegiosaojoaoevangelista.com.br/,(73) 3011-5063,Teixeira de Freitas,,,,,,5285540103,CENTRO EDUCACIONAL SÃO JOÃO EVANGELISTA
55,4169849490,CENTRO EDUCACIONAL SANTA LUZ,https://www.coc.com.br/nossas-escolas/centro-educacional-santa-luz,(17) 3331-5200,Guaíra,,,,,,5285538228,CENTRO EDUCACIONAL SANTA LUZ
